Date,QS,QF,GS,GF,HEB-QS,HEB-QF,HEB-GS,HEB-GF
1-Nov,,,,.5,,,,
2-Nov,,,,.5,,,,
3-Nov,1,,,2,,,,
4-Nov,,,,1,,,,
5-Nov,,,,,,,,
6-Nov,,,,1,,,,
7-Nov,,,,1,1,,,
8-Nov,,,,1,,,,
9-Nov,,,,,,,,
10-Nov,,,1,.5,,,,
11-Nov,,,,2,,,,
12-Nov,,,1.5,1,,,,
13-Nov,,,2,1,,,,
14-Nov,,,2,1,,,,
15-Nov,,1.5,2,2.5,,,,
16-Nov,,1.5,1,2,,,,
17-Nov,,2,.5,2,,,,
18-Nov,,1,.5,1.5,,,,
19-Nov,.5,,1,1,,,,
20-Nov,,,,.5,,,,
21-Nov,,,,1,,,,
22-Nov,.5,,,1,,,,
23-Nov,1,.5,1.5,,,,,
24-Nov,,1,2.5,,,,,
25-Nov,,1,2,1,,,1,
26-Nov,,1,2,1,,,1,
27-Nov,,1,1.5,1,,,1,
28-Nov,,1,2,1,,,1,
29-Nov,,1,2,2,,,1,
30-Nov,1,1,,.5,.5,.5,1,