Date,QS,QF,GS,GF,HEB-QS,HEB-QF,HEB-GS,HEB-GF,Bags Not Produced
1-Oct,,,1,1,,,,,"340,823"
2-Oct,,,,1,,,,1,"545,463"
3-Oct,,1,,2,,,,,"730,857"
4-Oct,,1,1,2,,,,,"730,857"
5-Oct,1,1,1,3,,1,,,"1,350,355"
6-Oct,,1,1,2,,,,,"730,857"
7-Oct,,1,1,2,,,,,"730,857"
8-Oct,,1,1,2,,,,,"730,857"
9-Oct,,1,2,3,,,,,"1,560,115"
10-Oct,,1,1,2,,,,,"730,857"
11-Oct,,1,1,2,,,,,"730,857"
12-Oct,,,1,2,,,,,"510,652"
13-Oct,,1,1,1,,,,,"577,987"
14-Oct,2,1,2,1,,,,,"1,316,313"
15-Oct,2,,2,2,,1,,,"1,498,551"
16-Oct,2,1,2,1,,,,,"1,316,313"
17-Oct,2,1,2,1,,,,,"1,316,313"
18-Oct,2,1,2,1,,,,,"1,316,313"
19-Oct,,,,,,,,,0
20-Oct,,,,,,,,,0
21-Oct,,,,,,,,,0
22-Oct,,,,,,,,,0
23-Oct,,,,,,,,,0
24-Oct,,,,,,,,,0
25-Oct,,,,,,,,,0
26-Oct,,2,1,1,,,,,788433